"HJD";"Uncert.";"O-C";"E";"Reference";"Observer";"Obs. meth.";"Comment"
"2457239.4118";"0.0016";"+0.0021";" +3984";"J.F. Le Borgne, 2015b, pr. com.";"Tarot - Calern";"ccd";""
"2457266.5097";"0.0014";"+0.0011";" +4043";"J.F. Le Borgne, 2015b, pr. com.";"Tarot - Calern";"ccd";""
"2457321.6261";"0.0008";"+0.0011";" +4163";"Samolyk, 2016";"G. Samolyk";"ccd";"V filter"
"2457321.6264";"0.0008";"+0.0014";" +4163";"Samolyk, 2016";"N. Simmons";"ccd";"V filter"
"2457567.8145";"0.0019";"+0.0030";" +4699";"J.F. Le Borgne, 2016a, pr. com.";"Tarot - Chile";"ccd";""
"2457595.8294";"0.0008";"+0.0005";" +4760";"Samolyk, 2017a";"G. Samolyk";"ccd";"V filter"
"2457613.7461";"0.0012";"+0.0043";" +4799";"J.F. Le Borgne, 2016a, pr. com.";"Tarot - Chile";"ccd";""
"2457635.7903";"0.0007";"+0.0020";" +4847";"Samolyk, 2017a";"G. Samolyk";"ccd";"V filter"
"2457640.3838";"0.0014";"+0.0024";" +4857";"J.F. Le Borgne, 2016a, pr. com.";"Tarot - Calern";"ccd";""
"2457649.5691";"0.0017";"+0.0017";" +4877";"J.F. Le Borgne, 2016a, pr. com.";"Tarot - Chile";"ccd";""
"2457663.3493";"0.0017";"+0.0028";" +4907";"J.F. Le Borgne, 2016a, pr. com.";"Tarot - Calern";"ccd";""
"2457699.6329";"0.0008";"+0.0014";" +4986";"Samolyk, 2017a";"G. Samolyk";"ccd";"V filter"
"2457904.9420";"0.0010";"+0.0020";" +5433";"Samolyk, 2018a";"T. Polakis";"ccd";"V filter"
"2457951.7912";"0.0009";"+0.0023";" +5535";"Samolyk, 2018a";"G. Samolyk";"ccd";"V filter"
"2457988.5350";"0.0020";"+0.0019";" +5615";"J.F. Le Borgne, 2017a, pr. com.";"Tarot - Calern";"ccd";""
"2458011.4960";"0.0020";"-0.0023";" +5665";"J.F. Le Borgne, 2017a, pr. com.";"Tarot - Calern";"ccd";""
"2458024.3615";"0.0007";"+0.0027";" +5693";"Samolyk, 2018a";"T. Arranz";"ccd";"V filter"
"2458030.3324";"0.0008";"+0.0027";" +5706";"Samolyk, 2018a";"T. Arranz";"ccd";"V filter"
"2458032.6288";"0.0009";"+0.0026";" +5711";"Samolyk, 2018a";"T. Polakis";"ccd";"V filter"
"2458042.7334";"0.0005";"+0.0025";" +5733";"Samolyk, 2018a";"T. Polakis";"ccd";"V filter"
"2458051.9188";"0.0008";"+0.0018";" +5753";"J.F. Le Borgne, 2017, pr. com.";"K. Hirosawa";"ccd";"V filter"
"2458064.3200";"0.0006";"+0.0019";" +5780";"Samolyk, 2018a";"T. Arranz";"ccd";"V filter"
